[2023-06-12T01:12:00] T = 775000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.8 | Avg. Q: -6.089442419338972 | Avg. Overlap: 0.01616656511011926
[2023-06-12T01:13:19] T = 800000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.9 | Avg. Q: -5.939209479857237 | Avg. Overlap: 0.016454095474326462
[2023-06-12T01:14:38] T = 825000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.1 | Avg. Q: -5.864194304324687 | Avg. Overlap: 0.023063514085513093
[2023-06-12T01:15:57] T = 850000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.3 | Avg. Q: -5.871137647908181 | Avg. Overlap: 0.026621841515458537
[2023-06-12T01:17:16] T = 875000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.5 | Avg. Q: -5.959759673386812 | Avg. Overlap: 0.04510278525167232
[2023-06-12T01:18:34] T = 900000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.4 | Avg. Q: -5.745371477015317 | Avg. Overlap: 0.024855522380042166
[2023-06-12T01:19:54] T = 925000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -5.788217274338007 | Avg. Overlap: 0.04258415091229168
[2023-06-12T01:21:11] T = 950000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.6 | Avg. Q: -5.91181634567678 | Avg. Overlap: 0.03367068681019318
[2023-06-12T01:22:30] T = 975000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.7 | Avg. Q: -5.777916946969927 | Avg. Overlap: 0.03561999976910911
[2023-06-12T01:23:49] T = 1000000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.0 | Avg. Q: -5.817376693680883 | Avg. Overlap: 0.020622557533651758
[2023-06-12T01:25:08] T = 1025000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.7 | Avg. Q: -5.906595791459083 | Avg. Overlap: 0.03499025373843419
